Time,Tips,Hum%,TempC,voltMeasure(V),readVcc(mV),Event
2015-04-30T19:31:07,0,39.00,22.00,4.84,4850,Normal
2015-04-30T19:32:07,0,39.00,22.00,4.79,4850,Normal
2015-04-30T19:33:07,0,39.00,22.00,4.78,4850,Normal
2015-04-30T19:34:06,0,39.00,22.00,4.79,4850,Normal
2015-04-30T19:35:06,0,39.00,22.00,4.82,4850,Normal
2015-04-30T19:36:06,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:37:05,0,39.00,22.00,4.84,4850,Normal
2015-04-30T19:38:05,0,39.00,22.00,4.90,4850,Normal
2015-04-30T19:39:05,0,39.00,22.00,4.85,4850,Normal
2015-04-30T19:40:04,0,39.00,22.00,4.85,4850,Normal
2015-04-30T19:41:04,0,39.00,22.00,4.76,4850,Normal
2015-04-30T19:42:03,0,39.00,22.00,4.77,4850,Normal
2015-04-30T19:43:03,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:44:03,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:45:02,0,39.00,22.00,4.84,4829,Normal
2015-04-30T19:46:02,0,39.00,22.00,4.79,4850,Normal
2015-04-30T19:47:02,0,39.00,22.00,4.81,4850,Normal
2015-04-30T19:48:01,0,39.00,22.00,4.79,4850,Normal
2015-04-30T19:49:01,0,39.00,22.00,4.84,4850,Normal
2015-04-30T19:50:01,0,40.00,22.00,4.88,4850,Normal
2015-04-30T19:51:00,0,39.00,22.00,4.74,4850,Normal
2015-04-30T19:52:00,0,39.00,22.00,4.86,4850,Normal
2015-04-30T19:53:08,0,39.00,22.00,4.78,4850,Normal
2015-04-30T19:54:08,0,39.00,22.00,4.86,4850,Normal
2015-04-30T19:55:07,0,39.00,22.00,4.83,4850,Normal
2015-04-30T19:56:07,0,39.00,22.00,4.85,4850,Normal
2015-04-30T19:57:06,0,39.00,22.00,4.83,4850,Normal
2015-04-30T19:58:06,0,39.00,22.00,4.76,4850,Normal
2015-04-30T19:59:06,0,39.00,22.00,4.81,4850,Normal
2015-04-30T20:00:05,0,39.00,22.00,4.86,4850,Normal
2015-04-30T20:00:06,0,39.00,22.00,4.68,4850,Daily backup
2015-04-30T20:03:40,0,40.00,22.00,4.78,4850,Normal
